country,Devolved,Deconcentrated,Local,Central
South Africa,0.984960725,0,0.00571931,0.009319964
Albania,0,0.87142531,0.109712806,0.018861884
Ghana,0.523748227,0.114418165,0.313294487,0.048539121
Macedonia,0,0,0.947904398,0.052095602
Uganda,0.394530274,0,0.526617191,0.078852535
Ethiopia,0.480609199,0,0.431697803,0.087692998
Burundi,0.172847352,0.003142056,0.722450489,0.101560102
Brazil,0.870730846,0,0.026515995,0.102753159
Nigeria,0.510762495,0,0.385406786,0.103830719
Namibia,0,0,0.893236267,0.106763733
Lesotho,0,0.132955104,0.722726223,0.144318673
Botswana,0.010536084,0,0.844702436,0.14476148
Bangladesh,0.106581482,0,0.730792761,0.162625756
Kenya,0,0.264540851,0.553363728,0.182095421
Guatemala,0.032559645,0,0.779063212,0.188377143
Indonesia,0.688103905,0,0.12226368,0.189632415
Mauritania,0.07,0.59,0.14,0.2
Tanzania,0.291088466,0.077662086,0.430126472,0.201122976
Vietnam,0.760909478,0,0.035863578,0.203226944
Peru,0.497267595,0,0.279695251,0.223037154
Mozambique,0,0.443914054,0.294999283,0.261086662
Cambodia,0,0.271283143,0.448361105,0.280355752
Sierra Leone,0.193352289,0,0.522851227,0.283796484
Senegal,0.231226589,0,0.472793001,0.29598041
Bolivia,0.541324127,0,0.136946129,0.321729743
Burkina Faso,0.011567527,0.363550166,0.26867913,0.356203177
Nepal,0,0.025553462,0.527549049,0.446897489
Mali,0.155377424,0.061103487,0.21806508,0.565454009
Benin,0.086184733,0.078405247,0.092925506,0.742484514
