age,No Debt,CC Only,Mort Only,Auto Only,Auto+Mort,Stud Only,Others
18-22,54.5,25.6,0.6,10,0.4,7.1,1.8
23-27,39.2,18.3,3.6,14.8,3.5,11.7,8.9
28-32,35.2,14.2,8,13.6,7.7,8.1,13.2
33-37,32,13.5,12.4,12.4,11.3,4.9,13.5
38-42,29.1,13.5,16.2,11.8,13.4,2.9,13.1
43-47,26.9,14.2,18.3,11,13.8,2,13.8
48-52,24.2,15.6,18.7,10.8,13.3,1.7,15.7
53-57,21.4,18.6,18.9,10.6,12.4,1.5,16.6
58-62,19.7,23.1,18.8,10.8,11.1,1.2,15.3
63-67,18.1,29.2,17.4,11.4,9.5,0.8,13.6
68-72,19.3,36.9,15,10.8,6.6,0.6,10.8
73-77,21.9,43.9,12,9.3,4.1,0.5,8.3
>77,36.1,45.5,6.9,5.1,1.5,0.5,4.4
