country,Devolved,Deconcentrated,Localized Central,Strictly Central
Albania,0.107808236,0.85530733,0.018930081,0.017954353
Bangladesh,0.093398783,0,0.830205882,0.076395335
Benin,0.036928116,0.013237747,0.474782607,0.47505153
Bolivia,0.238659377,0,0.753118797,0.008221826
Botswana,0.007674448,0.349470645,0.545268367,0.09758654
Brazil,0.822898115,0,0.115528909,0.061572976
Burkina Faso,0.05053572,0.342902101,0.22219577,0.384366409
Burundi,0.078431535,0.001339178,0.802370095,0.117859192
Cambodia,0,0.650598339,0.13308124,0.21632042
Ethiopia,0.485467565,0,0.492046367,0.022486068
Ghana,0.562113029,0.168242049,0.169548429,0.100096492
Guatemala,0.047484901,0,0.664518342,0.287996757
Indonesia,0.631988726,0,0.244305175,0.123706099
Kenya,0,0.018878573,0.907295343,0.073826084
Lesotho,0,0.003800808,0.945188373,0.051010818
Macedonia,0.576474516,0,0.401531206,0.021994278
Mali,0.054530484,0.654649964,0.112120722,0.17869883
Mauritania,0.25,0.47,0,0.28
Mozambique,0,0.680527409,0.095501359,0.223971232
Namibia,0.621228492,0,0.018552906,0.360218602
Nepal,0,0.83401021,0.126977714,0.039012075
Nigeria,0.497377113,0,0.406547503,0.096075384
Peru,0.617998116,0,0.245862539,0.136139346
Senegal,0.009266753,0,0.660518546,0.330214701
Sierra Leone,0.0930101,0,0.796880943,0.110108957
South Africa,0.805031686,0,0.185307989,0.009660326
Tanzania,0.632317264,0,0.125543326,0.24213941
Uganda,0.676856302,0,0.111024179,0.212119519
Vietnam,0.905824576,0,0.018835085,0.07534034
